Year,Manufacturer,Model,barrels08,charge240,city08U,cityCD,cityE,cityUF,co2,comb08U,combE,combinedCD,combinedUF,cylinders,feScore,fuelCost08,fuelType1,ghgScore,highway08U,highwayCD,highwayE,highwayUF,id,phevBlended,charge240b
2017,BMW,440i Coupe,12.93521739,0.0,19.0,0.0,0.0,0.0,395.0,22.0,0.0,0.0,0.0,6.0,5,2850.0,Premium Gasoline,5,29.0,0.0,0.0,0.0,38017,False,0.0
2017,Mercedes-Benz,C300,10.62535714,0.0,24.0,0.0,0.0,0.0,319.0,27.0,0.0,0.0,0.0,4.0,6,2350.0,Premium Gasoline,6,34.0,0.0,0.0,0.0,38025,False,0.0
2017,Bentley,Mulsanne,21.25071429,0.0,11.0,0.0,0.0,0.0,652.0,13.0,0.0,0.0,0.0,8.0,1,4650.0,Premium Gasoline,1,18.0,0.0,0.0,0.0,38030,False,0.0
2017,Audi,A4 allroad quattro,11.9004,0.0,23.0,0.0,0.0,0.0,349.0,25.0,0.0,0.0,0.0,4.0,5,2600.0,Premium Gasoline,5,28.0,0.0,0.0,0.0,38042,False,0.0
2017,Toyota,Prius,5.721346154,0.0,53.0,0.0,0.0,0.0,171.0,51.0,0.0,0.0,0.0,4.0,10,1000.0,Regular Gasoline,10,49.0,0.0,0.0,0.0,38061,False,0.0
2017,Kia,Soul,11.01888889,0.0,24.0,0.0,0.0,0.0,334.0,26.0,0.0,0.0,0.0,4.0,6,1950.0,Regular Gasoline,6,30.0,0.0,0.0,0.0,38067,False,0.0
2017,Hyundai,Veloster,9.597096774,0.0,28.0,0.0,0.0,0.0,288.0,31.0,0.0,0.0,0.0,4.0,7,1700.0,Regular Gasoline,7,35.0,0.0,0.0,0.0,38087,False,0.0
2017,Jaguar,XE AWD,10.50573529,0.0,30.0,0.0,0.0,0.0,299.0,34.0,0.0,0.0,0.0,4.0,8,1700.0,Diesel,7,40.0,0.0,0.0,0.0,38090,False,0.0
2017,Kia,Forte Koup,11.44269231,0.0,23.0,0.0,0.0,0.0,348.0,25.0,0.0,0.0,0.0,4.0,6,2050.0,Regular Gasoline,6,29.0,0.0,0.0,0.0,38093,False,0.0
2017,Chrysler,200,11.01888889,0.0,22.0,0.0,0.0,0.0,323.0,27.0,0.0,0.0,0.0,4.0,6,1950.0,Regular Gasoline,6,35.0,0.0,0.0,0.0,38099,False,0.0
2017,Infiniti,Q50S Red Sport,13.52318182,0.0,19.0,0.0,0.0,0.0,398.0,22.0,0.0,0.0,0.0,6.0,5,2950.0,Premium Gasoline,5,26.0,0.0,0.0,0.0,38103,False,0.0
2017,Infiniti,Q50 AWD,13.52318182,0.0,18.0,0.0,0.0,0.0,408.0,21.0,0.0,0.0,0.0,6.0,5,2950.0,Premium Gasoline,5,26.0,0.0,0.0,0.0,38104,False,0.0
2017,Infiniti,Q50S Red Sport  AWD,13.52318182,0.0,19.0,0.0,0.0,0.0,412.0,21.0,0.0,0.0,0.0,6.0,5,2950.0,Premium Gasoline,5,25.0,0.0,0.0,0.0,38105,False,0.0
2017,Infiniti,Q50 AWD,12.39625,0.0,22.0,0.0,0.0,0.0,365.0,24.0,0.0,0.0,0.0,4.0,5,2700.0,Premium Gasoline,5,27.0,0.0,0.0,0.0,38107,False,0.0
2017,Lexus,ES 300h,7.43775,0.0,40.0,0.0,0.0,0.0,223.0,39.0,0.0,0.0,0.0,4.0,9,1350.0,Regular Gasoline,9,38.0,0.0,0.0,0.0,38111,False,0.0
2017,Mercedes-Benz,S550 4matic Coupe,14.8755,0.0,16.0,0.0,0.0,0.0,443.0,19.0,0.0,0.0,0.0,8.0,4,3250.0,Premium Gasoline,4,25.0,0.0,0.0,0.0,38143,False,0.0
2017,Mitsubishi,Lancer,9.917,0.0,27.0,0.0,0.0,0.0,295.0,29.0,0.0,0.0,0.0,4.0,7,1750.0,Regular Gasoline,7,33.0,0.0,0.0,0.0,38146,False,0.0
2017,Nissan,Altima SR,9.917,0.0,26.0,0.0,0.0,0.0,297.0,30.0,0.0,0.0,0.0,4.0,7,1750.0,Regular Gasoline,7,37.0,0.0,0.0,0.0,38149,False,0.0
2017,Nissan,Altima,11.44269231,0.0,22.0,0.0,0.0,0.0,347.0,26.0,0.0,0.0,0.0,6.0,6,2050.0,Regular Gasoline,6,32.0,0.0,0.0,0.0,38151,False,0.0
2017,Honda,HR-V AWD,10.25896552,0.0,26.0,0.0,0.0,0.0,314.0,28.0,0.0,0.0,0.0,4.0,7,1850.0,Regular Gasoline,7,31.0,0.0,0.0,0.0,38161,False,0.0
2017,Mercedes-Benz,CLA250 4matic,11.01888889,0.0,23.0,0.0,0.0,0.0,336.0,26.0,0.0,0.0,0.0,4.0,6,2400.0,Premium Gasoline,6,31.0,0.0,0.0,0.0,38196,False,0.0
2017,Lexus,LS 460,15.65842105,0.0,16.0,0.0,0.0,0.0,460.0,19.0,0.0,0.0,0.0,8.0,4,3450.0,Premium Gasoline,4,24.0,0.0,0.0,0.0,38197,False,0.0
2017,Lexus,LS 460 AWD,16.52833333,0.0,15.0,0.0,0.0,0.0,486.0,18.0,0.0,0.0,0.0,8.0,3,3650.0,Premium Gasoline,3,22.0,0.0,0.0,0.0,38198,False,0.0
2017,Lexus,LS 460 L AWD,16.52833333,0.0,15.0,0.0,0.0,0.0,486.0,18.0,0.0,0.0,0.0,8.0,3,3650.0,Premium Gasoline,3,22.0,0.0,0.0,0.0,38200,False,0.0
2017,Lexus,GS 350,12.93521739,0.0,19.0,0.0,0.0,0.0,388.0,22.0,0.0,0.0,0.0,6.0,5,2850.0,Premium Gasoline,5,27.0,0.0,0.0,0.0,38201,False,0.0
2017,Lexus,GS 200t,11.44269231,0.0,22.0,0.0,0.0,0.0,345.0,25.0,0.0,0.0,0.0,4.0,6,2500.0,Premium Gasoline,6,32.0,0.0,0.0,0.0,38204,False,0.0
2017,Nissan,Sentra,9.917,0.0,26.0,0.0,0.0,0.0,298.0,29.0,0.0,0.0,0.0,4.0,7,1750.0,Regular Gasoline,7,34.0,0.0,0.0,0.0,38251,False,0.0
2017,Nissan,Sentra,10.62535714,0.0,26.0,0.0,0.0,0.0,318.0,28.0,0.0,0.0,0.0,4.0,6,2350.0,Premium Gasoline,6,32.0,0.0,0.0,0.0,38253,False,0.0
2017,Mazda,3 4-Door,9.597096774,0.0,27.0,0.0,0.0,0.0,284.0,31.0,0.0,0.0,0.0,4.0,7,1700.0,Regular Gasoline,7,37.0,0.0,0.0,0.0,38310,False,0.0
2017,Mazda,3 4-Door,10.25896552,0.0,25.0,0.0,0.0,0.0,312.0,28.0,0.0,0.0,0.0,4.0,7,1850.0,Regular Gasoline,7,34.0,0.0,0.0,0.0,38312,False,0.0
2017,Mazda,3 4-Door,9.597096774,0.0,27.0,0.0,0.0,0.0,284.0,31.0,0.0,0.0,0.0,4.0,7,1700.0,Regular Gasoline,7,36.0,0.0,0.0,0.0,38314,False,0.0
2017,Mazda,3 5-Door,9.917,0.0,26.0,0.0,0.0,0.0,291.0,30.0,0.0,0.0,0.0,4.0,7,1750.0,Regular Gasoline,7,35.0,0.0,0.0,0.0,38328,False,0.0
2017,Nissan,Juke,10.25896552,0.0,27.0,0.0,0.0,0.0,307.0,29.0,0.0,0.0,0.0,4.0,7,2250.0,Premium Gasoline,7,32.0,0.0,0.0,0.0,38341,False,0.0
2017,Subaru,Impreza 5-Door,9.597096774,0.0,28.0,0.0,0.0,0.0,282.0,31.0,0.0,0.0,0.0,4.0,7,1700.0,Regular Gasoline,7,36.0,0.0,0.0,0.0,38345,False,0.0
2017,Lexus,IS 300 AWD,14.16714286,0.0,18.0,0.0,0.0,0.0,415.0,21.0,0.0,0.0,0.0,6.0,4,3100.0,Premium Gasoline,4,25.0,0.0,0.0,0.0,38349,False,0.0
2017,Lexus,IS 200t,11.44269231,0.0,22.0,0.0,0.0,0.0,345.0,25.0,0.0,0.0,0.0,4.0,6,2500.0,Premium Gasoline,6,32.0,0.0,0.0,0.0,38352,False,0.0
2017,Infiniti,Q70,15.65842105,0.0,16.0,0.0,0.0,0.0,464.0,19.0,0.0,0.0,0.0,8.0,4,3450.0,Premium Gasoline,4,24.0,0.0,0.0,0.0,38371,False,0.0
2017,Infiniti,Q70 Hybrid,9.917,0.0,28.0,0.0,0.0,0.0,296.0,30.0,0.0,0.0,0.0,6.0,7,2200.0,Premium Gasoline,7,33.0,0.0,0.0,0.0,38373,False,0.0
2017,Infiniti,Q70,14.16714286,0.0,17.0,0.0,0.0,0.0,433.0,20.0,0.0,0.0,0.0,6.0,4,3100.0,Premium Gasoline,4,25.0,0.0,0.0,0.0,38374,False,0.0
2017,Kia,Optima Plug-in Hybrid,3.224983201,2.0,37.0,0.0,33.0,0.0,97.0,39.0,33.0,0.0,0.0,4.0,10,1350.0,Regular Gasoline,10,42.0,0.0,32.0,0.0,38406,True,0.0
2017,Dodge,Challenger SRT,17.50058824,0.0,14.0,0.0,0.0,0.0,523.0,16.0,0.0,0.0,0.0,8.0,3,3850.0,Premium Gasoline,3,22.0,0.0,0.0,0.0,38411,False,0.0
2017,BMW,328d,9.922083333,0.0,31.0,0.0,0.0,0.0,285.0,35.0,0.0,0.0,0.0,4.0,8,1600.0,Diesel,7,43.0,0.0,0.0,0.0,38429,False,0.0
2017,Ford,Focus FWD,8.750294118,0.0,29.0,0.0,0.0,0.0,264.0,33.0,0.0,0.0,0.0,3.0,8,1550.0,Regular Gasoline,8,40.0,0.0,0.0,0.0,38470,False,0.0
2017,Ford,Focus FWD,10.25896552,0.0,25.0,0.0,0.0,0.0,303.0,29.0,0.0,0.0,0.0,4.0,7,1850.0,Regular Gasoline,7,35.0,0.0,0.0,0.0,38472,False,0.0
2017,Ford,Focus FWD FFV,9.597096774,0.0,26.0,0.0,0.0,0.0,289.0,30.0,0.0,0.0,0.0,4.0,7,1700.0,Regular Gasoline,7,38.0,0.0,0.0,0.0,38474,False,0.0
2017,Kia,Niro,6.071632653,0.0,50.0,0.0,0.0,0.0,183.0,48.0,0.0,0.0,0.0,4.0,10,1100.0,Regular Gasoline,10,46.0,0.0,0.0,0.0,38486,False,0.0
2017,Kia,Niro Touring,6.918837209,0.0,45.0,0.0,0.0,0.0,207.0,43.0,0.0,0.0,0.0,4.0,9,1250.0,Regular Gasoline,9,40.0,0.0,0.0,0.0,38496,False,0.0
2017,Ford,C-MAX Energi Plug-In Hybrid,4.099308238,2.0,40.0,0.0,33.0,0.0,122.0,39.0,35.0,0.0,0.0,4.0,10,1350.0,Regular Gasoline,10,38.0,0.0,38.0,0.0,38506,True,0.0
2017,Nissan,Sentra Nismo,11.01888889,0.0,25.0,0.0,0.0,0.0,330.0,27.0,0.0,0.0,0.0,4.0,6,2400.0,Premium Gasoline,6,30.0,0.0,0.0,0.0,38518,False,0.0
2017,Volkswagen,Golf SportWagen 4motion,11.44269231,0.0,21.0,0.0,0.0,0.0,347.0,25.0,0.0,0.0,0.0,4.0,6,2050.0,Regular Gasoline,6,32.0,0.0,0.0,0.0,38522,False,0.0
2017,Subaru,Impreza 4-Door,11.01888889,0.0,23.0,0.0,0.0,0.0,331.0,26.0,0.0,0.0,0.0,4.0,6,1950.0,Regular Gasoline,6,31.0,0.0,0.0,0.0,38538,False,0.0
2017,Subaru,Impreza 5-Door,11.44269231,0.0,23.0,0.0,0.0,0.0,335.0,26.0,0.0,0.0,0.0,4.0,6,2050.0,Regular Gasoline,6,30.0,0.0,0.0,0.0,38540,False,0.0
