Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
United States,coal,2010,20.833967556,22.038226116,16383.04,309274.2,315.29621922552866,5.952069088764967,1875.159584
United States,natural_gas,2010,24.574753991,21.805763474,16383.04,309274.2,315.29621922552866,5.952069088764967,1233.390342
United States,petroleum_n_other_liquids,2010,36.444217857,14.315300531,16383.04,309274.2,315.29621922552866,5.952069088764967,2295.114893
United States,nuclear,2010,8.434432677,8.434432677,16383.04,309274.2,315.29621922552866,5.952069088764967,0.0
United States,renewables_n_other,2010,8.266858805,8.313761771,16383.04,309274.2,315.29621922552866,5.952069088764967,0.0
United States,all_energy_types,2011,96.870120665,78.105859277,16636.94,311695.5,310.78446966671,5.822592415732701,5593.662183
United States,coal,2011,19.657784073,22.221406892,16636.94,311695.5,310.78446966671,5.822592415732701,1985.938572
United States,natural_gas,2011,24.954538535,23.40571993,16636.94,311695.5,310.78446966671,5.822592415732701,1292.438107
United States,petroleum_n_other_liquids,2011,35.845414344,14.902369958,16636.94,311695.5,310.78446966671,5.822592415732701,2315.285504
United States,nuclear,2011,8.268698496,8.268698496,16636.94,311695.5,310.78446966671,5.822592415732701,0.0
United States,renewables_n_other,2011,9.211720484,9.307664001,16636.94,311695.5,310.78446966671,5.822592415732701,0.0
United States,all_energy_types,2012,94.383225354,79.251053787,17016.41,314178.5,300.4127442011468,5.546600331914899,5454.696471
United States,coal,2012,17.378234004,20.676892971,17016.41,314178.5,300.4127442011468,5.546600331914899,1875.601053
United States,natural_gas,2012,26.088581607,24.610064625,17016.41,314178.5,300.4127442011468,5.546600331914899,1312.327965
United States,petroleum_n_other_liquids,2012,35.039689673,17.009401247,17016.41,314178.5,300.4127442011468,5.546600331914899,2266.767453
United States,nuclear,2012,8.061822158,8.061822158,17016.41,314178.5,300.4127442011468,5.546600331914899,0.0
United States,renewables_n_other,2012,8.856265213,8.892872786,17016.41,314178.5,300.4127442011468,5.546600331914899,0.0
United States,all_energy_types,2013,97.125138216,81.861244307,17329.82,316569.0,306.8055880898003,5.604509349548928,5236.322549
United States,coal,2013,18.038633143,20.001303867,17329.82,316569.0,306.8055880898003,5.604509349548928,1657.873276
