Unnamed: 0,Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
6866,United States,natural_gas,1984,18.393612515,18.007932632,7995.96,235784.8,324.7482314381589,9.576173067399036,901.093998
6867,United States,petroleum_n_other_liquids,1984,31.035536117,21.082043165,7995.96,235784.8,324.7482314381589,9.576173067399036,1978.052717
6868,United States,nuclear,1984,3.552530566,3.552530566,7995.96,235784.8,324.7482314381589,9.576173067399036,0.0
6869,United States,renewables_n_other,1984,6.437863691,6.437863693,7995.96,235784.8,324.7482314381589,9.576173067399036,0.0
8250,United States,all_energy_types,1985,76.334134502,67.661300206,8329.37,237880.8,320.892373415593,9.16445475492144,4612.856171
8251,United States,coal,1985,17.478427648,19.325165618,8329.37,237880.8,320.892373415593,9.16445475492144,1616.102516
8252,United States,natural_gas,1985,17.703482185,16.980380424,8329.37,237880.8,320.892373415593,9.16445475492144,962.252107
8253,United States,petroleum_n_other_liquids,1985,30.918849461,21.196174616,8329.37,237880.8,320.892373415593,9.16445475492144,2034.501548
8254,United States,nuclear,1985,4.0755629,4.0755629,8329.37,237880.8,320.892373415593,9.16445475492144,0.0
8255,United States,renewables_n_other,1985,6.084016647,6.084016648,8329.37,237880.8,320.892373415593,9.16445475492144,0.0
9636,United States,all_energy_types,1986,76.598888068,67.030255766,8617.77,240072.0,319.0663137225499,8.888481366757294,4605.354533
9637,United States,coal,1986,17.260405035,19.509466196,8617.77,240072.0,319.0663137225499,8.888481366757294,1655.024937
9638,United States,natural_gas,1986,16.591364143,16.5408009,8617.77,240072.0,319.0663137225499,8.888481366757294,926.516318
9639,United States,petroleum_n_other_liquids,1986,32.2105668,20.4887396,8617.77,240072.0,319.0663137225499,8.888481366757294,2023.813278
9640,United States,nuclear,1986,4.380108667,4.380108667,8617.77,240072.0,319.0663137225499,8.888481366757294,0.0
9641,United States,renewables_n_other,1986,6.111140402,6.111140403,8617.77,240072.0,319.0663137225499,8.888481366757294,0.0
11022,United States,all_energy_types,1987,79.008202666,67.506383428,8915.9,242235.0,326.16344733832847,8.861494932199777,4615.662207
11023,United States,coal,1987,18.008450718,20.141104115,8915.9,242235.0,326.16344733832847,8.861494932199777,1635.733252
11024,United States,natural_gas,1987,17.639800879,17.135819011,8915.9,242235.0,326.16344733832847,8.861494932199777,867.86644
11025,United States,petroleum_n_other_liquids,1987,32.886966681,19.853719522,8915.9,242235.0,326.16344733832847,8.861494932199777,2112.062515
11026,United States,nuclear,1987,4.753933331,4.753933331,8915.9,242235.0,326.16344733832847,8.861494932199777,0.0
11027,United States,renewables_n_other,1987,5.621807448,5.621807449,8915.9,242235.0,326.16344733832847,8.861494932199777,0.0
12408,United States,all_energy_types,1988,82.659169043,68.889579036,9288.34,244446.2,338.14871756239205,8.899240234853592,4775.551396
12409,United States,coal,1988,18.846312438,20.737639161,9288.34,244446.2,338.14871756239205,8.899240234853592,1709.483872
12410,United States,natural_gas,1988,18.448392652,17.598597009,9288.34,244446.2,338.14871756239205,8.899240234853592,922.972357
12411,United States,petroleum_n_other_liquids,1988,34.243286226,19.509620491,9288.34,244446.2,338.14871756239205,8.899240234853592,2143.095167
12412,United States,nuclear,1988,5.586968249,5.586968249,9288.34,244446.2,338.14871756239205,8.899240234853592,0.0
12413,United States,renewables_n_other,1988,5.456754124,5.456754126,9288.34,244446.2,338.14871756239205,8.899240234853592,0.0
13794,United States,all_energy_types,1989,84.739992958,69.284521938,9629.41,246765.2,343.4033362808046,8.800123056137396,4998.211912
13795,United States,coal,1989,19.069762485,21.360178406,9629.41,246765.2,343.4033362808046,8.800123056137396,1792.727375
13796,United States,natural_gas,1989,19.601605666,17.847274995,9629.41,246765.2,343.4033362808046,8.800123056137396,964.372566
13797,United States,petroleum_n_other_liquids,1989,34.235454038,18.240249847,9629.41,246765.2,343.4033362808046,8.800123056137396,2241.111971
13798,United States,nuclear,1989,5.602160969,5.602160969,9629.41,246765.2,343.4033362808046,8.800123056137396,0.0
13799,United States,renewables_n_other,1989,6.234657719,6.234657721,9629.41,246765.2,343.4033362808046,8.800123056137396,0.0
15180,United States,all_energy_types,1990,84.432860298,70.667560975,9811.07,249516.8,338.385472633506,8.605876861341322,5084.558664
15181,United States,coal,1990,19.172634948,22.487548402,9811.07,249516.8,338.385472633506,8.605876861341322,1813.144079
15182,United States,natural_gas,1990,19.603266853,18.326154546,9811.07,249516.8,338.385472633506,8.605876861341322,1026.9554
15183,United States,petroleum_n_other_liquids,1990,33.563363508,17.709483519,9811.07,249516.8,338.385472633506,8.605876861341322,2244.459185
15184,United States,nuclear,1990,6.104350276,6.104350276,9811.07,249516.8,338.385472633506,8.605876861341322,0.0
15185,United States,renewables_n_other,1990,6.04002423,6.040024232,9811.07,249516.8,338.385472633506,8.605876861341322,0.0
16566,United States,all_energy_types,1991,84.380300081,70.321065501,9800.43,252831.2,333.7416429657416,8.609856922706452,5037.896431
16567,United States,coal,1991,18.991670121,21.636424389,9800.43,252831.2,333.7416429657416,8.609856922706452,1820.022501
